day,hour,minute,amps_avg,kw_avg,amps_min,amps_max,kw_min,kw_max,datetime
6,4,15,0.1435,33.005,0.1435,0.1435,33.005,33.005,2013-12-06 04:15:00.000
6,4,16,0.1575,36.225,0.1575,0.1575,36.225,36.225,2013-12-06 04:16:00.000
6,4,17,0.163333,37.566667,0.163333,0.163333,37.566667,37.566667,2013-12-06 04:17:00.000
6,4,18,0.182,41.86,0.182,0.182,41.86,41.86,2013-12-06 04:18:00.000
6,4,19,0.134167,30.858333,0.134167,0.134167,30.858333,30.858333,2013-12-06 04:19:00.000
6,4,20,0.131833,30.321667,0.131833,0.131833,30.321667,30.321667,2013-12-06 04:20:00.000
6,4,21,0.096833,22.271667,0.096833,0.096833,22.271667,22.271667,2013-12-06 04:21:00.000
6,4,22,0.1085,24.955,0.1085,0.1085,24.955,24.955,2013-12-06 04:22:00.000
6,4,23,0.142333,32.736667,0.142333,0.142333,32.736667,32.736667,2013-12-06 04:23:00.000
6,4,24,0.142333,32.736667,0.142333,0.142333,32.736667,32.736667,2013-12-06 04:24:00.000
6,4,25,0.141167,32.468333,0.141167,0.141167,32.468333,32.468333,2013-12-06 04:25:00.000
6,4,26,0.120167,27.638333,0.120167,0.120167,27.638333,27.638333,2013-12-06 04:26:00.000
6,4,27,0.093333,21.466667,0.093333,0.093333,21.466667,21.466667,2013-12-06 04:27:00.000
6,4,28,0.106167,24.418333,0.106167,0.106167,24.418333,24.418333,2013-12-06 04:28:00.000
6,4,29,0.117833,27.101667,0.117833,0.117833,27.101667,27.101667,2013-12-06 04:29:00.000
6,4,30,0.102667,23.613333,0.102667,0.102667,23.613333,23.613333,2013-12-06 04:30:00.000
6,4,31,0.128333,29.516667,0.128333,0.128333,29.516667,29.516667,2013-12-06 04:31:00.000
6,4,32,0.145833,33.541667,0.145833,0.145833,33.541667,33.541667,2013-12-06 04:32:00.000
6,4,33,0.170333,39.176667,0.170333,0.170333,39.176667,39.176667,2013-12-06 04:33:00.000
6,4,34,0.1925,44.275,0.1925,0.1925,44.275,44.275,2013-12-06 04:34:00.000
6,4,35,0.149333,34.346667,0.149333,0.149333,34.346667,34.346667,2013-12-06 04:35:00.000
6,4,36,0.1225,28.175,0.1225,0.1225,28.175,28.175,2013-12-06 04:36:00.000
